"id";"lang";"label"
"1";"Q15";"fr";"Afrique"
"2";"Q15";"de";"Afrika"
"3";"Q15";"en";"Africa"
"4";"Q15";"en";"African continent"
"5";"Q15";"en";"Ancient Libya"
"6";"Q15";"tr";"Afrika"
"7";"Q15";"tr";"Afrika kıtası"
"8";"Q15";"ar";"إفريقيا"
"9";"Q15";"ar";"القارة الأفريقية"
"10";"Q15";"ar";"أفريقيا"
"11";"Q15";"ar";"إفريقية"
"12";"Q15";"ar";"أفريقية"
"13";"Q828";"fr";"Amérique"
"14";"Q828";"fr";"Amériques"
"15";"Q828";"fr";"les Amériques"
"16";"Q828";"de";"Amerika"
"17";"Q828";"de";"Amerikas"
"18";"Q828";"de";"America"
"19";"Q828";"de";"Neue Welt"
"20";"Q828";"de";"amerikanischer Doppelkontinent"
"21";"Q828";"en";"Americas"
"22";"Q828";"en";"the Americas"
"23";"Q828";"en";"América"
"24";"Q828";"en";"America"
"25";"Q828";"en";"Turtle Island"
"26";"Q828";"en";"New World"
"27";"Q828";"tr";"Amerika"
"28";"Q828";"ar";"الأمريكتان"
"29";"Q828";"ar";"أمريكيتان"
"30";"Q828";"ar";"أمريكا"
"31";"Q828";"ar";"أمريكة"
"32";"Q828";"ar";"أمريكتان"
"33";"Q48";"fr";"Asie"
"34";"Q48";"de";"Asien"
"35";"Q48";"en";"Asia"
"36";"Q48";"en";"Asian continent"
"37";"Q48";"tr";"Asya"
"38";"Q48";"tr";"Asya kıtası"
"39";"Q48";"ar";"آسيا"
"40";"Q46";"fr";"Europe"
"41";"Q46";"fr";"continent européen"
"42";"Q46";"fr";"Vieux Continent"
"43";"Q46";"de";"Europa"
"44";"Q46";"en";"Europe"
"45";"Q46";"en";"Old continent"
"46";"Q46";"en";"European continent"
"47";"Q46";"tr";"Avrupa"
"48";"Q46";"tr";"Avrupa kıtası"
"49";"Q46";"ar";"أوروبا"
"50";"Q46";"ar";"قارة أوروبا"
"51";"Q538";"fr";"Océanie"
"52";"Q538";"de";"Ozeanien"
"53";"Q538";"en";"Insular Oceania"
"54";"Q538";"en";"Pacific Islands"
"55";"Q538";"tr";"Okyanusya"
"56";"Q538";"ar";"جزيرة أوقيانوسيا"
"57";"Q51";"fr";"Antarctique"
"58";"Q51";"fr";"continent austral"
"59";"Q51";"fr";"continent blanc"
"60";"Q51";"de";"Antarktika"
"61";"Q51";"de";"Südkontinent"
"62";"Q51";"de";"antarktischer Kontinent"
"63";"Q51";"de";"Antarktis"
"64";"Q51";"en";"Antarctica"
"65";"Q51";"tr";"Antarktika"
"66";"Q51";"tr";"Antarktika kıtası"
"67";"Q51";"ar";"القارة القطبية الجنوبية"
"68";"Q51";"ar";"القارة المتجمدة الجنوبية"
"69";"Q51";"ar";"أنتارتيكا"
"70";"Q27433";"fr";"Afrique centrale"
"71";"Q27433";"de";"Zentralafrika"
"72";"Q27433";"en";"Central Africa"
"73";"Q27433";"tr";"Orta Afrika"
"74";"Q27433";"ar";"وسط أفريقيا"
"75";"Q27407";"fr";"Afrique de l'Est"
